<<<<<<< HEAD
sector,symbol,name
APPAREL,IMAGE,Image Pakistan Limited
APPAREL,INKL,International Knitwear Limited
APPAREL,STYLERS,Stylers International Limited
AUTOMOBILE ASSEMBLER,AGTL,Al-Ghazi Tractors Limited
AUTOMOBILE ASSEMBLER,GAL,Ghandhara Automobiles Limited
AUTOMOBILE ASSEMBLER,GHNI,Ghandhara Industries Limited
AUTOMOBILE ASSEMBLER,HCAR,Honda Atlas Cars (Pakistan) Limited
AUTOMOBILE ASSEMBLER,HINO,Hinopak Motors Limited
AUTOMOBILE ASSEMBLER,MTL,Millat Tractors Limited
AUTOMOBILE ASSEMBLER,SAZEW,Sazgar Engineering Works Limited
AUTOMOBILE PARTS & ACCESSORIES,AGIL,Agriauto Industries Limited
AUTOMOBILE PARTS & ACCESSORIES,ATBA,Atlas Battery Limited
AUTOMOBILE PARTS & ACCESSORIES,BWHL,Baluchistan Wheels Limited
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,Exide Pakistan Limited
AUTOMOBILE PARTS & ACCESSORIES,GTYR,Ghandhara Tyre & Rubber Company Limited
AUTOMOBILE PARTS & ACCESSORIES,LOADS,Loads Limited
AUTOMOBILE PARTS & ACCESSORIES,PTL,Panther Tyres Ltd.
AUTOMOBILE PARTS & ACCESSORIES,SLM,Service Long March Tyres Limited
CABLE & ELECTRICAL GOODS,EMCO,Emco Industries Limited
CABLE & ELECTRICAL GOODS,FCL,Fast Cables Limited
CABLE & ELECTRICAL GOODS,PAEL,Pak Elektron Limited
CABLE & ELECTRICAL GOODS,SIEM,Siemens (Pakistan) Engineering
CABLE & ELECTRICAL GOODS,WAVES,Waves Corporation Limited
CEMENT,ACPL,Attock Cement Pakistan Limited
CEMENT,CHCC,Cherat Cement Company Limited
CEMENT,DCL,Dewan Cement Limited
CEMENT,DGKC,D.G. Khan Cement Company Limited
CEMENT,DNCC,Dandot Cement Company Limited
CEMENT,FCCL,Fauji Cement Company Limited
CEMENT,FECTC,Fecto Cement Limited
CEMENT,FLYNG,Flying Cement Company Limited
CEMENT,GWLC,Gharibwal Cement Limited
CEMENT,KOHC,Kohat Cement Company Limited
CEMENT,LUCK,Lucky Cement Limited
CEMENT,MLCF,Maple Leaf Cement Factory Limited
CEMENT,PIOC,Pioneer Cement Limited
CEMENT,POWER,Power Cement Limited
CEMENT,SMCPL,Safe Mix Concrete Limited
CEMENT,THCCL,Thatta Cement Company Limited
CHEMICAL,ARPL,Archroma Pakistan Limited
CHEMICAL,BERG,Berger Paints Pakistan Limited
CHEMICAL,BIFO,Biafo Industries Limited
CHEMICAL,BUXL,Buxly Paints Limited
CHEMICAL,DAAG,Data Agro Limited
CHEMICAL,DOL,Descon Oxychem Limited
CHEMICAL,DYNO,Dynea Pakistan Limited
CHEMICAL,EPCL,Engro Polymer & Chemicals Limited
CHEMICAL,GCIL,Ghani Chemical Industries Limited
CHEMICAL,GCWL,Ghani Chemworld Limited
CHEMICAL,GGL,Ghani Global Holdings Limited
CHEMICAL,ICL,Ittehad Chemicals Limted
CHEMICAL,LCI,Lucky Core Industries Limited
CHEMICAL,LOTCHEM,Lotte Chemical Pakistan Limited
CHEMICAL,LPGL,Leiner Pak Gelatine Limited
CHEMICAL,NRSL,Nimir Resins Limited
CHEMICAL,PAKOXY,Pakistan Oxygen Limited
CHEMICAL,SARC,Sardar Chemical Industries Limited
CHEMICAL,SITC,Sitara Chemical Industries Limited
CHEMICAL,WAHN,Wah Noble Chemicals Limited
COMMERCIAL BANKS,BIPL,BankIslami Pakistan Limited
COMMERCIAL BANKS,FABL,Faysal Bank Limited
COMMERCIAL BANKS,MEBL,Meezan Bank Limited
ENGINEERING,ASL,Aisha Steel Mills Limited
ENGINEERING,BCL,Bolan Castings Limited
ENGINEERING,BECO,Beco Steel Limited
ENGINEERING,CSAP,Crescent Steel & Allied Products Limited
ENGINEERING,DADX,Dadex Eternit Limited
ENGINEERING,INIL,International Industries Limited
ENGINEERING,ISL,International Steels Limited
ENGINEERING,ITTEFAQ,Ittefaq Iron Industries Limited
ENGINEERING,KSBP,KSB Pumps Company Limited
ENGINEERING,MSCL,Metropolitan Steel Corporation Limited
ENGINEERING,MUGHAL,Mughal Iron & Steel Industries Limited
FERTILIZER,EFERT,Engro Fertilizers Limited
FERTILIZER,FATIMA,Fatima Fertilizer Company Limited
FERTILIZER,FFC,Fauji Fertilizer Company Limited
FOOD & PERSONAL CARE PRODUCTS,BBFL,Big Bird Foods Limited
FOOD & PERSONAL CARE PRODUCTS,BFAGRO,Barkat Frisian Agro Limited
FOOD & PERSONAL CARE PRODUCTS,BNL,Bunnys Limited
FOOD & PERSONAL CARE PRODUCTS,CLOV,Clover Pakistan Limited
FOOD & PERSONAL CARE PRODUCTS,COLG,Colgate-Palmolive (Pakistan) Limited
FOOD & PERSONAL CARE PRODUCTS,FCEPL,Frieslandcampina Engro Pakistan Limited
FOOD & PERSONAL CARE PRODUCTS,FFL,Fauji Foods Limited
FOOD & PERSONAL CARE PRODUCTS,GDL,Ghani Dairies Limited
FOOD & PERSONAL CARE PRODUCTS,GIL,Good Luck Industries Ltd.
FOOD & PERSONAL CARE PRODUCTS,ISIL,Ismail Industries Limited
FOOD & PERSONAL CARE PRODUCTS,MFFL,Mitchells Fruit Farms Limited
FOOD & PERSONAL CARE PRODUCTS,MFL,Matco Foods Limited
FOOD & PERSONAL CARE PRODUCTS,NESTLE,Nestle Pakistan Limited
FOOD & PERSONAL CARE PRODUCTS,PREMA,At-Tahur Limited
FOOD & PERSONAL CARE PRODUCTS,QUICE,Quice Food Industries Limited
FOOD & PERSONAL CARE PRODUCTS,RMPL,Rafhan Maize Products Company Limited
FOOD & PERSONAL CARE PRODUCTS,SCL,Shield Corporation Limited
FOOD & PERSONAL CARE PRODUCTS,TOMCL,The Organic Meat Company Limited
FOOD & PERSONAL CARE PRODUCTS,TREET,Treet Corporation Limited
FOOD & PERSONAL CARE PRODUCTS,UNITY,Unity Foods Limited
FOOD & PERSONAL CARE PRODUCTS,UPFL,Unilever Pakistan Foods Limited
FOOD & PERSONAL CARE PRODUCTS,WAHDAT,Wahdat Poultry Farm Limited
FOOD & PERSONAL CARE PRODUCTS,ZIL,ZIL Limited
GLASS & CERAMICS,FRCL,Frontier Ceramics Limited
GLASS & CERAMICS,GGGL,Ghani Global Glass Limited
GLASS & CERAMICS,GHGL,Ghani Glass Limited
GLASS & CERAMICS,GVGL,Ghani Value Glass Limited
GLASS & CERAMICS,KCL,Karam Ceramics Limited
GLASS & CERAMICS,STCL,Shabbir Tiles & Ceramics Limited
GLASS & CERAMICS,TGL,Tariq Glass Industries Limited
INSURANCE,PAKQATAR,Pak Qatar Family Takaful Limited
INSURANCE,PQGTL,Pak Qatar General Takaful Limited
INV. BANKS / INV. COS. / SECURITIES COS.,ENGROH,Engro Holdings Limited
LEATHER & TANNERIES,BATA,Bata Pakistan Limited
LEATHER & TANNERIES,LEUL,Leather Up Limited
LEATHER & TANNERIES,SGF,Service GlobalFootwear Limited
