date,sector,symbol,name,portfolio_status,sector_rank,sector_count,sector_confidence,sector_confidence_note,evidence_warning,final_score,quantitative_score,scoring_model_version,active_axis_weight_pct,data_completeness_count,data_completeness_total,data_completeness_pct,data_completeness_label,news_score,news_label,news_note,trend_score,valuation_score,profitability_score,liquidity_score,income_score,quality_score,quality_metric_count,quality_metric_total,quality_completeness_pct,quarterly_fiscal_period,quarterly_fiscal_end_date,quarterly_available_date,quarterly_date_basis,quarterly_age_days,quarterly_debt_to_equity,quarterly_roe,quarterly_current_ratio,quarterly_revenue_growth,quarterly_net_profit_growth,quarterly_quality_note,volatility_daily_pct,volatility_annualized_pct,volatility_observations,volatility_window,volatility_score,volatility_label,daily_return_pct,period_return_pct,distance_from_52w_high_pct,distance_from_52w_low_pct,market_cap,weekly_avg_volume,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,trend_label,key_reason
2026-09-10,APPAREL,IMAGE,Image Pakistan Limited,unknown,1,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; small sector peer group,78.94,78.94,v3_quarterly_quality,90,5,6,83.33,partial,,,,12.5,83.33,100,83.33,100,,0,5,0,Mar-26,2026-03-31,2026-07-25,scraped_at,163,23.71,17.59,3.38,1.38,18.21,,1.08,17.22,29,30,100,low,-1.92,-9.75,23.9,29.05,5.65B,198.14K,7.02,1.16,,3.49,17.93,8.16,strong_down,-9.75% period return; PE 7.02; EPS 3.49; margin 17.93%
2026-09-10,APPAREL,INKL,International Knitwear Limited,unknown,2,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; small sector peer group,54.4,54.4,v3_quarterly_quality,90,0,6,0,low,,,,87.5,50,50,33.33,50,,0,5,0,,,,,,,,,,,,2.96,47.06,29,30,0,high,3.79,9.7,21.4,153.15,1B,25.48K,,,,,,,strong_up,limited data 0/6; 9.7% period return
2026-09-10,APPAREL,STYLERS,Stylers International Limited,unknown,3,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; small sector peer group,16.67,16.67,v3_quarterly_quality,90,5,6,83.33,partial,,,,50,16.67,0,33.33,0,,0,5,0,,,,,,,,,,,,1.3,20.7,29,30,50,moderate,-1.96,-1.5,12.98,38.89,24.44B,13.74K,21.97,1.79,,2.28,5.99,3,down,-1.5% period return; PE 21.97; EPS 2.28; margin 5.99%
2026-09-10,AUTOMOBILE ASSEMBLER,SAZEW,Sazgar Engineering Works Limited,unknown,1,7,moderate,7 scored members; moderate peer-count confidence,,67.65,67.65,v3_quarterly_quality,100,6,6,100,complete,,,,62.5,61.11,83.33,66.67,66.67,63.33,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,3.24,63.19,1.59,36.34,12.35,,1.78,28.27,29,30,50,moderate,-0.94,-4.9,38.94,17.76,108.2B,137.39K,4.58,2.52,0,390.51,12.31,3.91,down,-4.9% period return; PE 4.58; EPS 390.51; margin 12.31%
2026-09-10,AUTOMOBILE ASSEMBLER,GAL,Ghandhara Automobiles Limited,unknown,2,7,moderate,7 scored members; moderate peer-count confidence,,61.14,61.14,v3_quarterly_quality,100,6,6,100,complete,,,,58.33,61.11,75,77.78,33.33,76.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,4.18,39.42,1.75,187.06,160.65,,2.03,32.21,29,30,0,high,-4.58,-7.63,15.24,100.68,33.29B,483.45K,4.98,1.74,0,117.24,12.52,1.71,strong_down,strong quality 76.67 (5/5); -7.63% period return; PE 4.98; EPS 117.24
2026-09-10,AUTOMOBILE ASSEMBLER,MTL,Millat Tractors Limited,unknown,3,7,moderate,7 scored members; moderate peer-count confidence,,55.03,55.03,v3_quarterly_quality,100,6,6,100,complete,,,,41.67,22.22,58.33,88.89,100,26.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,155.6,80.74,1.11,-9.24,3.31,,0.87,13.78,29,30,100,low,-1.47,-2.3,113.16,7.11,119.24B,217.52K,16.16,15.42,0.95,18.49,12.64,5.86,down,weak quality 26.67 (5/5); -2.3% period return; PE 16.16; EPS 18.49
2026-09-10,AUTOMOBILE ASSEMBLER,GHNI,Ghandhara Industries Limited,unknown,4,7,moderate,7 scored members; moderate peer-count confidence,,53.74,53.74,v3_quarterly_quality,100,6,6,100,complete,,,,70.83,55.56,66.67,55.56,16.67,70,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,0.22,43.96,1.5,118.4,102.87,,1.71,27.13,29,30,66.67,moderate,-2.68,-5.35,16.99,98.77,49.97B,122.48K,7.22,2.72,0.02,162.33,11.84,0.85,strong_down,strong quality 70 (5/5); -5.35% period return; PE 7.22; EPS 162.33
2026-09-10,AUTOMOBILE ASSEMBLER,HCAR,Honda Atlas Cars (Pakistan) Limited,unknown,5,7,moderate,7 scored members; moderate peer-count confidence,,49.22,49.22,v3_quarterly_quality,100,6,6,100,complete,,,,33.33,55.56,25,50,83.33,36.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,24.82,13.34,1.5,56.64,19.34,,1.83,28.97,29,30,33.33,moderate,-4.21,-8.17,44.34,49.36,31.46B,294.33K,6.43,1.18,32.55,34.25,3.68,4.09,strong_down,-8.17% period return; PE 6.43; EPS 34.25; margin 3.68%
2026-09-10,AUTOMOBILE ASSEMBLER,AGTL,Al-Ghazi Tractors Limited,unknown,6,7,moderate,7 scored members; moderate peer-count confidence,,37.07,37.07,v3_quarterly_quality,100,6,6,100,complete,,,,62.5,58.33,41.67,11.11,0,36.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,18.34,19.3,1.8,-17.24,-30.08,,1.83,29.08,29,30,16.67,high,-3.39,-2.1,39.03,24.12,20.72B,52.27K,7.42,1.73,0.76,48.19,10.51,0,down,-2.1% period return; PE 7.42; EPS 48.19; margin 10.51%
2026-09-10,AUTOMOBILE ASSEMBLER,HINO,Hinopak Motors Limited,unknown,7,7,moderate,7 scored members; moderate peer-count confidence,,26.71,26.71,v3_quarterly_quality,100,6,6,100,complete,,,,20.83,36.11,0,5.56,50,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,36.06,9.11,1.51,6.42,234.57,,1.26,20.04,29,30,83.33,low,-3.54,-14.36,73.6,23.18,8.09B,2.62K,24.2,1.29,8.95,13.47,3.24,3.35,strong_down,-14.36% period return; PE 24.2; EPS 13.47; margin 3.24%
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,AGIL,Agriauto Industries Limited,unknown,1,8,moderate,8 scored members; moderate peer-count confidence,,73.58,73.58,v3_quarterly_quality,100,6,6,100,complete,,,,75,66.67,83.33,66.67,66.67,90,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,21.59,13.94,1.8,57.36,2242.11,,2.25,35.69,29,30,14.29,high,-3.67,-0.07,31.94,23.82,5.4B,34.05K,4.49,0.75,0.35,33.43,6.92,3.33,flat,strong quality 90 (5/5); -0.07% period return; PE 4.49; EPS 33.43
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,BWHL,Baluchistan Wheels Limited,unknown,2,8,moderate,8 scored members; moderate peer-count confidence,,72.95,72.95,v3_quarterly_quality,100,6,6,100,complete,,,,78.57,50,83.33,33.33,100,86.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,0.52,16.44,5.6,14.6,29.04,,1.24,19.62,29,30,71.43,low,-2.09,-2.62,14.85,33.57,2.99B,8.1K,9.58,1.25,0.17,23.44,10.72,8.91,down,strong quality 86.67 (5/5); -2.62% period return; PE 9.58; EPS 23.44
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,SLM,Service Long March Tyres Limited,unknown,3,8,moderate,8 scored members; moderate peer-count confidence,quarterly quality unavailable,56.61,56.61,v3_quarterly_quality,90,0,6,0,low,,,,78.57,50,50,66.67,50,,0,5,0,,,,,,,,,,,,0.72,11.36,29,30,100,low,-1.13,-1.34,10.99,7.74,184.35B,2.25M,,,,,,,down,limited data 0/6; -1.34% period return
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,PTL,Panther Tyres Ltd.,unknown,4,8,moderate,8 scored members; moderate peer-count confidence,,55.16,55.16,v3_quarterly_quality,100,5,6,83.33,partial,,,,35.71,47.22,50,66.67,83.33,46.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,151.8,13.5,1.01,10.89,422.71,,1.36,21.65,29,30,42.86,moderate,-4.5,-7.23,32.72,6.98,8.34B,939.89K,6.36,0.99,,7.8,3.6,8.06,strong_down,-7.23% period return; PE 6.36; EPS 7.8; margin 3.6%
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,EXIDE,Exide Pakistan Limited,unknown,5,8,moderate,8 scored members; moderate peer-count confidence,,49.65,49.65,v3_quarterly_quality,100,5,6,83.33,partial,,,,35.71,58.33,66.67,23.81,50,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,79.02,6.07,1.59,-17.83,-29.64,,0.82,13,29,30,85.71,low,-4.89,-7.65,64.39,21.68,3.45B,1.8K,10.29,0.46,,43.18,1.88,1.13,strong_down,-7.65% period return; PE 10.29; EPS 43.18; margin 1.88%
2026-09-10,AUTOMOBILE PARTS & ACCESSORIES,LOADS,Loads Limited,unknown,6,8,moderate,8 scored members; moderate peer-count confidence,,41.04,41.04,v3_quarterly_quality,100,6,6,100,complete,,,,42.86,27.78,50,66.67,33.33,43.33,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,163,48.84,5.85,0.79,26.53,-67.71,,1.36,21.64,29,30,57.14,moderate,-1.91,-6,76.01,17.47,4.77B,2.01M,12.03,0.91,-0.01,1.07,4.28,0,strong_down,-6% period return; PE 12.03; EPS 1.07; margin 4.28%
