date,sector,symbol,sector_rank,sector_count,final_score,quantitative_score,news_score,news_label,trend_label,period_return_pct,daily_return_pct,valuation_score,profitability_score,liquidity_score,income_score,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,key_reason
2026-07-23,APPAREL,IMAGE,1,3,75.42,75.42,,,down,-1.54,-0.46,83.33,100,83.33,100,7.5,1.24,,3.49,17.93,7.64,-1.54% period return; PE 7.5; EPS 3.49; margin 17.93%
2026-07-23,APPAREL,INKL,2,3,54.17,54.17,,,up,2.7,1.58,50,50,16.67,50,,,,,,,2.7% period return
2026-07-23,APPAREL,STYLERS,3,3,20.42,20.42,,,strong_down,-5.1,-4.34,16.67,0,50,0,21.81,1.78,,2.28,5.99,3.02,-5.1% period return; PE 21.81; EPS 2.28; margin 5.99%
2026-07-23,AUTOMOBILE ASSEMBLER,GHNI,1,7,69.17,69.17,,,up,1.51,-1.36,66.67,66.67,66.67,16.67,7.08,2.66,0.02,162.33,11.84,0.87,1.51% period return; PE 7.08; EPS 162.33; margin 11.84%
2026-07-23,AUTOMOBILE ASSEMBLER,GAL,2,7,66.53,66.53,,,down,-1.59,-2.06,72.22,66.67,72.22,33.33,4.8,1.68,0,117.24,12.52,1.78,-1.59% period return; PE 4.8; EPS 117.24; margin 12.52%
2026-07-23,AUTOMOBILE ASSEMBLER,SAZEW,3,7,65.83,65.83,,,down,-3.63,-1.86,50,100,66.67,66.67,6.29,3.25,0,303.75,12.89,3.66,-3.63% period return; PE 6.29; EPS 303.75; margin 12.89%
2026-07-23,AUTOMOBILE ASSEMBLER,MTL,4,7,45,45,,,down,-2.04,-1.26,22.22,41.67,77.78,100,15.38,14.67,0.9,18.49,12.64,6.15,-2.04% period return; PE 15.38; EPS 18.49; margin 12.64%
2026-07-23,AUTOMOBILE ASSEMBLER,HCAR,5,7,39.31,39.31,,,down,-3.68,-3.56,50,16.67,55.56,83.33,10.17,1.29,32.55,22.64,2.64,3.91,-3.68% period return; PE 10.17; EPS 22.64; margin 2.64%
2026-07-23,AUTOMOBILE PARTS & ACCESSORIES,BWHL,1,8,76.37,76.37,,,down,-3.33,-1.06,60,91.67,33.33,83.33,7.59,1.26,0.06,29.35,14.67,7.63,-3.33% period return; PE 7.59; EPS 29.35; margin 14.67%
2026-07-23,AUTOMOBILE PARTS & ACCESSORIES,AGIL,2,8,67.24,67.24,,,down,-3.61,-2.67,77.78,75,52.38,66.67,6.06,0.8,0.48,24.75,5.37,1.17,-3.61% period return; PE 6.06; EPS 24.75; margin 5.37%
