date,sector,symbol,name,portfolio_status,sector_rank,sector_count,sector_confidence,sector_confidence_note,evidence_warning,final_score,quantitative_score,scoring_model_version,active_axis_weight_pct,data_completeness_count,data_completeness_total,data_completeness_pct,data_completeness_label,news_score,news_label,news_note,trend_score,valuation_score,profitability_score,liquidity_score,income_score,quality_score,quality_metric_count,quality_metric_total,quality_completeness_pct,quarterly_fiscal_period,quarterly_fiscal_end_date,quarterly_available_date,quarterly_date_basis,quarterly_age_days,quarterly_debt_to_equity,quarterly_roe,quarterly_current_ratio,quarterly_revenue_growth,quarterly_net_profit_growth,quarterly_quality_note,volatility_daily_pct,volatility_annualized_pct,volatility_observations,volatility_window,volatility_score,volatility_label,daily_return_pct,period_return_pct,distance_from_52w_high_pct,distance_from_52w_low_pct,market_cap,weekly_avg_volume,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,trend_label,key_reason
2026-07-18,APPAREL,IMAGE,Image Pakistan Limited,,1,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,83.1,83.1,v3_quarterly_quality,90,5,6,83.33,partial,,,,37.5,83.33,100,83.33,100,,0,5,0,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,23.71,17.59,3.38,1.38,18.21,,,,0,30,,unknown,-0.71,-0.71,22.03,40,6.13B,742.36K,7.61,1.26,,3.49,17.93,7.52,flat,-0.71% period return; PE 7.61; EPS 3.49; margin 17.93%
2026-07-18,APPAREL,INKL,International Knitwear Limited,,2,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,42.13,42.13,v3_quarterly_quality,90,0,6,0,low,,,,25,50,50,16.67,50,,0,5,0,,,,,,,,,,,,,,0,30,,unknown,-2.23,-2.23,38.89,200.9,877.72M,2.05K,,,,,,,down,limited data 0/6; -2.23% period return
2026-07-18,APPAREL,STYLERS,Stylers International Limited,,3,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,24.77,24.77,v3_quarterly_quality,90,5,6,83.33,partial,,,,87.5,16.67,0,50,0,,0,5,0,,,,,,,,,,,,,,0,30,,unknown,0.6,0.6,16.84,45.31,25.57B,28.46K,22.98,1.88,,2.28,5.99,2.87,flat,0.6% period return; PE 22.98; EPS 2.28; margin 5.99%
2026-07-18,AUTOMOBILE ASSEMBLER,AGTL,Al-Ghazi Tractors Limited,,7,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,24.08,24.08,v3_quarterly_quality,100,6,6,100,complete,,,,16.67,36.11,41.67,5.56,0,36.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,18.34,19.3,1.8,-17.24,-30.08,,,,0,30,,unknown,-2.63,-2.63,31.89,30.84,21.84B,14.38K,10.66,1.95,1.33,35.36,8.63,0,down,-2.63% period return; PE 10.66; EPS 35.36; margin 8.63%
2026-07-18,AUTOMOBILE ASSEMBLER,GAL,Ghandhara Automobiles Limited,,1,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,66.42,66.42,v3_quarterly_quality,100,6,6,100,complete,,,,58.33,77.78,66.67,72.22,50,76.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,4.18,39.42,1.75,187.06,160.65,,,,0,30,,unknown,-2.15,-2.15,10.62,96.64,32.62B,1.49M,2.62,1.7,0,117.24,12.52,2.65,down,strong quality 76.67 (5/5); -2.15% period return; PE 2.62; EPS 117.24
2026-07-18,AUTOMOBILE ASSEMBLER,GHNI,Ghandhara Industries Limited,,3,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,58.39,58.39,v3_quarterly_quality,100,6,6,100,complete,,,,66.67,72.22,66.67,66.67,16.67,70,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,0.22,43.96,1.5,118.4,102.87,,,,0,30,,unknown,-1.02,-1.02,13.5,91.92,48.25B,603.39K,3.78,2.62,0.02,162.33,11.84,1.54,down,strong quality 70 (5/5); -1.02% period return; PE 3.78; EPS 162.33
2026-07-18,AUTOMOBILE ASSEMBLER,HCAR,Honda Atlas Cars (Pakistan) Limited,,5,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,49.22,49.22,v3_quarterly_quality,100,6,6,100,complete,,,,50,50,16.67,55.56,83.33,36.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,24.82,13.34,1.5,56.64,19.34,,,,0,30,,unknown,-0.81,-0.81,34.28,62.07,34.14B,766.11K,10.56,1.34,32.55,22.64,2.64,3.76,flat,-0.81% period return; PE 10.56; EPS 22.64; margin 2.64%
2026-07-18,AUTOMOBILE ASSEMBLER,HINO,Hinopak Motors Limited,,6,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,36.92,36.92,v3_quarterly_quality,100,6,6,100,complete,,,,66.67,47.22,16.67,11.11,33.33,40,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,36.06,9.11,1.51,6.42,234.57,,,,0,30,,unknown,0.34,0.34,47.74,62.25,10.65B,15.11K,19.68,1.76,0.27,21.82,4.92,2.54,flat,0.34% period return; PE 19.68; EPS 21.82; margin 4.92%
2026-07-18,AUTOMOBILE ASSEMBLER,MTL,Millat Tractors Limited,,4,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,50.03,50.03,v3_quarterly_quality,100,6,6,100,complete,,,,41.67,22.22,41.67,72.22,100,26.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,155.6,80.74,1.11,-9.24,3.31,,,,0,30,,unknown,-0.06,-0.06,119.43,2.03,115.83B,265.13K,13.47,14.98,0.91,18.49,12.64,7.03,flat,weak quality 26.67 (5/5); -0.06% period return; PE 13.47; EPS 18.49
2026-07-18,AUTOMOBILE ASSEMBLER,SAZEW,Sazgar Engineering Works Limited,,2,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,65.5,65.5,v3_quarterly_quality,100,6,6,100,complete,,,,50,44.44,100,72.22,66.67,63.33,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,3.24,63.19,1.59,36.34,12.35,,,,0,30,,unknown,-1.26,-1.26,25.44,72.25,119.84B,278.7K,6.53,3.37,0,303.75,12.89,3.53,down,-1.26% period return; PE 6.53; EPS 303.75; margin 12.89%
