sector,name,date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
PHARMACEUTICALS,Abbott Laboratories (Pakistan) Limited,2026-07-18,ABOT,969.88,951.11,969.88,950,1304,821,93.11B,97.9M,21.17M,30.9K,21.63,4.21,84.85,10.97,2.76,11.21,0.63
CEMENT,Attock Cement Pakistan Limited,2026-07-18,ACPL,227,226.43,235,225.01,325.01,205,31.12B,137.43M,13.74M,80.95K,10,3.75,20.97,6.74,1.3,10.8,0.78
SUGAR & ALLIED INDUSTRIES,Adam Sugar Mills Limited,2026-07-18,ADAMS,69.48,67,72.95,66.63,90.98,57.25,1.16B,17.29M,3.46M,12.85K,20,5.97,9.29,1.54,0.23,8.51,-6.16
AUTOMOBILE PARTS & ACCESSORIES,Agriauto Industries Limited,2026-07-18,AGIL,155.64,155.6,160,153.25,198,121.2,5.6B,36M,21.6M,6.71K,60,1.12,24.75,5.37,0.83,6.29,0.48
PHARMACEUTICALS,AGP Limited,2026-07-18,AGP,198.75,195.87,199.99,194.12,258.67,163,54.84B,280M,84M,294.86K,30,4.08,13.41,13.14,3.36,14.61,0.26
AUTOMOBILE ASSEMBLER,Al-Ghazi Tractors Limited,2026-07-18,AGTL,387,376.82,389.9,371.01,497,288,21.84B,57.96M,3.67M,14.38K,6.34,0,35.36,8.63,1.95,10.66,1.33
TEXTILE COMPOSITE,Ahmad Hassan Textile Mills Limited,2026-07-18,AHTM,94.98,91.1,97.58,89,134.15,60,771.76M,8.47M,1.27M,637.6,15,1.65,12.65,2.07,0.32,7.2,-2.47
TECHNOLOGY & COMMUNICATION,Air Link Communication Limited,2026-07-18,AIRLINK,143.7,139.53,144.99,138.99,199,118,55.15B,395.27M,118.58M,867.48K,30,6.45,14.02,6.35,3.01,9.95,
MISCELLANEOUS,Al-Khair Gadoon Limited,2026-07-18,AKGL,0,49.95,0,0,68.75,0,499.5M,10M,1M,328.5,10,,,,,,
SUGAR & ALLIED INDUSTRIES,Al-Noor Sugar Mills Limited,2026-07-18,ALNRS,134.86,135.18,136,132.54,144,82,2.77B,20.47M,4.09M,2.17K,20,2.96,13.88,1.67,0.38,9.74,3.92
TEXTILE COMPOSITE,Azgard Nine Limited,2026-07-18,ANL,10.17,10.03,10.25,10,13.7,8.01,4.87B,485.41M,242.7M,371.94K,50,0,1.6,1.96,0.32,6.26,0.39
TEXTILE COMPOSITE,AN Textile Mills Limited,2026-07-18,ANTM,59,52.56,59,51.32,66.38,20.81,507.73M,9.66M,1.45M,16.99K,15,,,,,,
TEXTILE SPINNING,Arctic Textile Mills Limited,2026-07-18,ARCTM,38.89,38.36,39,36.51,46.98,24.14,505.39M,13.17M,2.7M,64.02K,20.52,,,,,,
CHEMICAL,Archroma Pakistan Limited,2026-07-18,ARPL,381,379.99,381,377,535,325,13.13B,34.56M,8.64M,6.5K,25,7.89,38.21,4.75,2.71,9.95,4.74
TEXTILE WEAVING,Ashfaq Textile Mills Limited,2026-07-18,ASHT,33.5,32,33.5,31.41,70,13.64,1.49B,46.57M,2.33M,3.62K,5,,,,,,
ENGINEERING,Aisha Steel Mills Limited,2026-07-18,ASL,12.6,12.64,12.87,12.42,15.94,8.51,11.77B,930.78M,279.24M,2.85M,30,0,0.07,0.28,1.18,181.61,-13.43
TEXTILE SPINNING,Asim Textile Mills Limited,2026-07-18,ASTM,25.83,24.23,27.51,23.71,41.94,12,367.74M,15.18M,2.28M,109.07K,15,,,,,,
AUTOMOBILE PARTS & ACCESSORIES,Atlas Battery Limited,2026-07-18,ATBA,213.99,210.03,213.99,210,311.98,169.02,7.35B,35.02M,8.75M,11.53K,25,0,2.24,0.23,0.93,82.63,463.54
REFINERY,Attock Refinery Limited,2026-07-18,ATRL,897,900.12,923,895,1005,597.1,95.97B,106.62M,42.65M,701.08K,40,0.83,180.56,6.62,0.56,4.99,-0.01
TECHNOLOGY & COMMUNICATION,Avanceon Limited,2026-07-18,AVN,33.43,33.12,33.65,33.04,54.3,26.5,14.23B,429.67M,150.38M,378.36K,35,3.02,1.02,2.52,0.95,32.46,-12.03
TEXTILE SPINNING,Allawasaya Tex. & Finishing Mills Ltd,2026-07-18,AWTX,1707.25,1552.05,1707.25,1707.25,1707.26,1270,1.24B,800K,4.5K,0,0.56,0,9.84,0.15,0.99,156.58,-19.42
SUGAR & ALLIED INDUSTRIES,Baba Farid Sugar Mills Limited,2026-07-18,BAFS,381,418.56,418.56,381,474.51,64,3.96B,9.45M,472.5K,3.58K,5,0.48,60.89,8.1,1.93,6.87,0.04
LEATHER & TANNERIES,Bata Pakistan Limited,2026-07-18,BATA,974.85,960.17,974.85,960,1750,875,7.26B,7.56M,1.79M,932.2,23.67,0,-368,-15.26,2.4,-2.61,0.12
FOOD & PERSONAL CARE PRODUCTS,Big Bird Foods Limited,2026-07-18,BBFL,43.89,42.99,44.1,42.5,57.35,34,12.85B,298.91M,115.24M,781.37K,38.55,,,,,,
ENGINEERING,Bolan Castings Limited,2026-07-18,BCL,73.01,72,74.75,71,130.44,56.02,826.02M,11.47M,6.31M,17.06K,55,0,-1.36,-1.1,2.59,-53.11,4.26
ENGINEERING,Beco Steel Limited,2026-07-18,BECO,5.28,5.2,5.28,5.18,73.6,3.9,6.5B,1.25B,437.37M,2.95M,35,,,,,,
CHEMICAL,Berger Paints Pakistan Limited,2026-07-18,BERG,103.02,101.17,104,100.01,141,80.65,2.48B,24.55M,9.82M,136.41K,40,4.94,12.44,3.37,0.65,8.13,
FOOD & PERSONAL CARE PRODUCTS,Barkat Frisian Agro Limited,2026-07-18,BFAGRO,34.01,34.31,34.8,33.7,49.25,29.03,10.64B,309.99M,77.5M,405.07K,25,,,,,,
PHARMACEUTICALS,BF Biosciences Limited,2026-07-18,BFBIO,133.2,131.73,134,131.51,189.97,124,11.64B,88.33M,26.5M,117.88K,30,,,,,,
MODARABAS,B.F. Modaraba,2026-07-18,BFMOD,23.5,22.57,23.5,22.23,38.84,10,169.62M,7.52M,2.63M,64.82K,35,,,,,,
TEXTILE COMPOSITE,Bhanero Textile Mills Limited,2026-07-18,BHAT,829.99,806.37,829.99,790,1040,726.06,2.45B,3.04M,152.05K,392.4,5,0,30.09,0.28,0.23,26.8,3.89
CHEMICAL,Biafo Industries Limited,2026-07-18,BIFO,122,120.65,124.88,116.01,207.1,79.1,5.6B,46.38M,16.23M,90.29K,35,6.22,9.41,12.78,1.72,12.82,0.6
COMMERCIAL BANKS,BankIslami Pakistan Limited,2026-07-18,BIPL,27.12,27.04,27.65,26.9,44.1,23.6,29.98B,1.11B,166.31M,799.64K,15,10.17,3.87,5.45,0.65,6.98,
TRANSPORT,Blue-Ex Limited,2026-07-18,BLUEX,7.86,7.43,7.87,7.25,80.85,4.9,2.11B,284.28M,113.71M,19.83M,40,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Bunnys Limited,2026-07-18,BNL,6.75,6.65,6.8,6.61,170.73,6.6,4.44B,668.05M,434.23M,2.23M,65,0,0.67,5.69,1.51,9.97,0.61
WOOLLEN,Bannu Woollen Mills Limited,2026-07-18,BNWM,67.64,66.33,69,66.01,91.89,50,630.55M,9.51M,4.75M,7.71K,50,0,-9.58,-7,0.19,-6.92,-0.31
OIL & GAS MARKETING COMPANIES,Burshane LPG (Pakistan) Limited,2026-07-18,BPL,53.91,54.7,55,53,80.97,20.01,1.23B,22.49M,6.75M,52.05K,30,,,,,,
PROPERTY,B.R.R Guardian Limited,2026-07-18,BRRG,48,48,49.17,48,53.77,27.52,4.56B,95.01M,47.5M,15.16K,50,,,,,,
TEXTILE COMPOSITE,Blessed Textiles Limited,2026-07-18,BTL,950.01,1015.74,950.1,950,1580,275.01,6.53B,6.43M,321.6K,62.6,5,0,-35.67,-0.77,0.86,-28.47,
CHEMICAL,Buxly Paints Limited,2026-07-18,BUXL,187.76,189.94,209,180.1,274.4,133.02,273.51M,1.44M,576K,3.49K,40,0,-17.12,-4.42,1.68,-11.09,0.12
AUTOMOBILE PARTS & ACCESSORIES,Baluchistan Wheels Limited,2026-07-18,BWHL,232.43,230.51,232.43,227.01,257.92,147,3.07B,13.33M,7.33M,21.1K,55,7.38,29.35,14.67,1.3,7.85,0.06
TEXTILE SPINNING,Crescent Cotton Mills Limited,2026-07-18,CCM,53.68,53.68,53.68,53.68,68.88,34.4,1.22B,22.66M,10.2M,34.14K,45,0,2.96,-0.18,0.18,12.45,-0.91
"PAPER, BOARD & PACKAGING",Century Paper & Board Mills Limited,2026-07-18,CEPB,29.35,28.66,29.46,28.5,46.7,24.59,11.51B,401.71M,120.51M,580.48K,30,0,-1.87,-1.96,0.88,-15.33,1.03
TEXTILE SPINNING,Crescent Fibres Limited,2026-07-18,CFL,58,58.89,60,58,94.01,45.1,731.29M,12.42M,3.73M,785.25,30,0,-49.59,-18.39,0.19,-1.19,0.03
SUGAR & ALLIED INDUSTRIES,Chashma Sugar Mills Limited,2026-07-18,CHAS,109.02,108.64,110.98,107.5,160.49,56.01,3.12B,28.69M,4.3M,21.96K,15,0,-57.51,-5.08,0.3,-1.89,-0.16
CEMENT,Cherat Cement Company Limited,2026-07-18,CHCC,316,309.53,318.5,308.01,390,225,60.14B,194.3M,116.58M,271.79K,60,1.78,37.91,19.73,1.6,8.17,0.31
FOOD & PERSONAL CARE PRODUCTS,Clover Pakistan Limited,2026-07-18,CLOV,7.8,7.54,7.8,7.51,88.64,6.59,2.94B,389.29M,214.11M,1.92M,55,0,0.61,4.44,4.03,12.34,-0.32
